,POS,Pitch accent
0,名詞,0
1,助詞,1
2,名詞,0
3,助詞,1
4,代名詞,0
5,助動詞,1
6,動詞,0
7,助動詞,1
8,動詞,0
9,名詞,0
10,連体詞,1
11,副詞,0
12,動詞,5
13,動詞,3
14,助詞,0
15,名詞,1
16,連体詞,0
17,助詞,0
18,接続詞,1
19,名詞,1
20,助詞,1
21,助詞,0
22,名詞,0
23,名詞,1
24,名詞,1
25,動詞,2
26,助詞,0
27,名詞,3
28,助詞,0
29,名詞,2
30,助詞,1
31,名詞,0
32,名詞,1
33,名詞,3
34,名詞,1
35,名詞,1
36,助詞,1
37,名詞,0
38,助詞,1
39,代名詞,0
40,助動詞,1
41,動詞,0
42,助動詞,1
43,動詞,0
44,助詞,0
45,名詞,1
46,動詞,2
47,動詞,0
48,助詞,1
49,名詞,0
50,助詞,0
51,副詞,2
52,接続詞,1
53,動詞,0
54,助詞,0
55,名詞,1
56,接頭辞,1
57,助詞,0
58,名詞,3
59,形容詞,2
60,名詞,1
61,助詞,0
62,名詞,2
63,動詞,1
64,助詞,0
65,名詞,1
66,助詞,0
67,代名詞,1
68,助詞,1
69,名詞,0
70,形容詞,1
71,名詞,1
72,助詞,0
73,名詞,2
74,助詞,1
75,名詞,0
76,助詞,1
77,代名詞,0
78,助動詞,1
79,動詞,0
80,助動詞,1
81,動詞,0
82,代名詞,0
83,動詞,0
84,動詞,3
85,接続詞,1
86,動詞,3
87,動詞,0
88,助詞,1
89,代名詞,0
90,接続詞,1
91,助動詞,1
92,助詞,0
93,名詞,1
94,助詞,0
95,形状詞,4
96,動詞,0
97,助詞,0
98,助詞,1
99,名詞,1
100,名詞,0
101,助詞,0
102,名詞,3
103,形状詞,0
104,助詞,1
105,名詞,0
106,接続詞,1
107,助詞,1
108,名詞,0
109,名詞,3
110,感動詞,1
111,感動詞,1
112,助詞,1
113,助詞,0
114,助詞,1
115,動詞,0
116,動詞,0
117,助詞,0
118,名詞,2
119,接続詞,0
120,名詞,2
121,助詞,1
122,名詞,0
123,助動詞,10
124,名詞,3
125,助詞,1
126,代名詞,0
127,代名詞,1
128,代名詞,2
129,感動詞,4
130,感動詞,3
131,名詞,3
132,感動詞,1
133,感動詞,1
134,助詞,1
135,助詞,0
136,助詞,1
137,動詞,0
138,動詞,0
139,助詞,0
140,名詞,2
141,接続詞,0
142,名詞,2
143,助詞,1
144,名詞,0
145,助動詞,10
146,名詞,3
147,助詞,1
148,代名詞,0
149,代名詞,1
150,代名詞,2
151,感動詞,4
152,感動詞,3
153,助詞,0
154,動詞,3
155,名詞,0
156,助詞,0
157,形状詞,1
158,接続詞,1
159,助動詞,0
160,名詞,1
161,接続詞,1
162,副詞,1
163,名詞,0
164,助詞,0
165,名詞,1
166,動詞,2
167,接続詞,1
168,名詞,1
169,動詞,0
170,助詞,0
171,助詞,1
172,名詞,1
173,名詞,0
174,接続詞,0
175,名詞,2
176,名詞,0
177,助動詞,1
178,動詞,0
179,助詞,1
180,接尾辞,0
181,助詞,0
182,助詞,1
183,名詞,2
184,名詞,0
185,名詞,0
186,名詞,1
187,接続詞,0
188,代名詞,0
189,名詞,0
190,名詞,3
191,感動詞,1
192,感動詞,1
193,助動詞,1
194,形状詞,0
195,感動詞,1
196,接続詞,1
197,動詞,0
198,動詞,3
199,動詞,0
200,名詞,0
201,助動詞,1
202,副詞,1
203,副詞,0
204,動詞,0
205,名詞,2
206,助詞,0
207,名詞,1
208,名詞,0
209,名詞,2
210,助詞,1
211,代名詞,0
212,動詞,0
213,接続詞,1
214,動詞,1
215,助詞,0
216,助詞,1
217,名詞,0
218,接続詞,1
219,名詞,1
220,助詞,0
221,代名詞,2
222,助詞,0
223,名詞,2
224,助詞,0
225,助詞,1
226,名詞,2
227,名詞,0
228,動詞,0
229,助詞,0
230,助詞,1
231,名詞,2
232,名詞,0
233,名詞,1
234,助詞,1
235,名詞,0
236,接続詞,1
237,名詞,2
238,助動詞,0
239,動詞,1
240,名詞,4
241,助詞,0
242,接尾辞,2
243,名詞,0
244,名詞,3
245,助詞,0
246,名詞,1
247,動詞,0
248,接続詞,1
249,名詞,4
250,助詞,1
251,名詞,0
252,形容詞,0
253,名詞,3
254,名詞,0
255,連体詞,1
256,助詞,1
257,名詞,0
258,助詞,0
259,助詞,1
260,名詞,2
261,名詞,0
262,助詞,1
263,助詞,0
264,名詞,0
265,名詞,1
266,助動詞,1
267,動詞,0
268,助詞,1
269,名詞,0
270,助詞,0
271,名詞,1
272,動詞,1
273,助詞,1
274,名詞,0
275,形容詞,3
276,助詞,0
277,副詞,1
278,接続詞,0
279,形容詞,1
280,助詞,0
281,形容詞,2
282,接続詞,1
283,動詞,2
284,助詞,0
285,代名詞,2
286,名詞,2
287,名詞,3
288,助詞,0
289,名詞,3
290,助詞,1
291,助詞,0
292,動詞,1
293,名詞,2
294,接続詞,1
295,動詞,2
296,助詞,0
297,名詞,1
298,接続詞,1
299,動詞,2
300,助詞,0
301,名詞,1
302,名詞,0
303,助詞,1
304,名詞,0
305,動詞,2
306,助詞,0
307,名詞,1
308,助詞,1
309,代名詞,0
310,助動詞,1
311,動詞,0
312,助詞,0
313,名詞,1
314,助詞,1
315,名詞,0
316,名詞,1
317,名詞,2
318,助詞,0
319,名詞,3
320,助詞,0
321,名詞,1
322,助詞,0
323,名詞,1
324,動詞,3
325,接続詞,1
326,名詞,3
327,名詞,3
328,助動詞,1
329,助詞,0
330,動詞,1
331,助動詞,1
332,助詞,0
333,動詞,1
334,助詞,0
335,名詞,1
336,連体詞,0
337,助詞,0
338,助動詞,00
339,動詞,1
340,動詞,1
341,助詞,0
342,接続詞,1
343,名詞,1
344,助詞,1
345,副詞,0
346,接続詞,0
347,名詞,3
348,助動詞,1
349,名詞,1
350,接続詞,1
351,動詞,1
352,名詞,0
353,助詞,0
354,名詞,1
355,名詞,1
356,助詞,0
357,名詞,2
358,感動詞,1
359,感動詞,1
360,助詞,0
361,名詞,2
362,動詞,0
363,名詞,3
364,名詞,0
365,名詞,2
366,名詞,0
367,名詞,1
368,名詞,2
369,名詞,2
370,助動詞,1
371,助詞,0
372,動詞,1
373,助動詞,1
374,助詞,0
375,動詞,1
376,助詞,0
377,名詞,1
378,連体詞,0
379,助動詞,11
380,助動詞,0
381,副詞,1
382,助詞,0
383,名詞,1
384,連体詞,0
385,名詞,2
386,名詞,1
387,副詞,0
388,副詞,1
389,接続詞,1
390,名詞,3
391,名詞,0
392,名詞,1
393,形容詞,1
394,動詞,1
395,形容詞,1
396,助詞,1
397,名詞,0
398,接頭辞,1
399,助詞,0
400,助動詞,1
401,形状詞,0
402,名詞,1
403,助詞,0
404,名詞,2
405,感動詞,1
406,感動詞,1
407,助詞,0
408,名詞,2
409,名詞,1
410,接続詞,0
411,名詞,1
412,助詞,0
413,助詞,1
414,名詞,2
415,名詞,0
416,名詞,0
417,名詞,0
418,名詞,4
419,名詞,0
420,助動詞,1
421,助詞,0
422,動詞,1
423,助動詞,1
424,助詞,0
425,動詞,1
426,助詞,0
427,名詞,1
428,連体詞,0
429,名詞,0
430,名詞,3
431,連体詞,1
432,助詞,1
433,名詞,0
434,助動詞,0
435,動詞,2
436,助詞,0
437,助動詞,00
438,形容詞,1
439,動詞,2
