,Token,Reading,Dict. form,POS,Line,Song ID,Pitch accent
3275,あっ,アッ,あっ,"('感動詞', '一般', '*', '*', '*', '*')",11,7,
2153,あっ,アッ,あっ,"('感動詞', '一般', '*', '*', '*', '*')",9,26,
1702,いでよ,イデヨ,いでる,"('動詞', '一般', '*', '*', '下一段-ダ行', '命令形')",2,22,
624,いでよ,イデヨ,いでる,"('動詞', '一般', '*', '*', '下一段-ダ行', '命令形')",13,14,
3421,うるま,ウルマ,うるま,"('名詞', '固有名詞', '地名', '一般', '*', '*')",3,9,
248,きけ,キケ,きける,"('動詞', '一般', '*', '*', '下一段-カ行', '連用形-一般')",4,11,
1205,くどける,クドケル,くどける,"('動詞', '一般', '*', '*', '下一段-カ行', '終止形-一般')",10,19,
917,ぐらし,グラシ,ぐらし,"('名詞', '普通名詞', '一般', '*', '*', '*')",5,17,
2985,ごと,ゴト,ごと,"('副詞', '*', '*', '*', '*', '*')",2,5,
3363,だけ,ダケ,だけ,"('助詞', '副助詞', '*', '*', '*', '*')",12,8,
3306,だけ,ダケ,だけ,"('助詞', '副助詞', '*', '*', '*', '*')",4,8,
824,だけ,ダケ,だけ,"('助詞', '副助詞', '*', '*', '*', '*')",16,16,
353,だけ,ダケ,だけ,"('助詞', '副助詞', '*', '*', '*', '*')",6,12,
1226,だけ,ダケ,だけ,"('助詞', '副助詞', '*', '*', '*', '*')",13,19,
645,だけ,ダケ,だけ,"('助詞', '副助詞', '*', '*', '*', '*')",1,15,
1540,だけ,ダケ,だけ,"('助詞', '副助詞', '*', '*', '*', '*')",17,20,
948,だっ,ダッ,だっ,"('副詞', '*', '*', '*', '*', '*')",9,17,
2186,って,ッテ,って,"('助詞', '副助詞', '*', '*', '*', '*')",14,26,
1352,って,ッテ,って,"('助詞', '副助詞', '*', '*', '*', '*')",10,2,
2293,つかめ,ツカメ,つかめる,"('動詞', '一般', '*', '*', '下一段-マ行', '連用形-一般')",3,27,
2132,です,デス,です,"('助動詞', '*', '*', '*', '助動詞-デス', '終止形-一般')",4,26,
3079,でしょう,デショウ,です,"('助動詞', '*', '*', '*', '助動詞-デス', '意志推量形')",17,5,
1777,です,デス,です,"('助動詞', '*', '*', '*', '助動詞-デス', '終止形-一般')",15,22,
3052,です,デス,です,"('助動詞', '*', '*', '*', '助動詞-デス', '終止形-一般')",13,5,
3041,でしょう,デショウ,です,"('助動詞', '*', '*', '*', '助動詞-デス', '意志推量形')",11,5,
3009,でしょう,デショウ,です,"('助動詞', '*', '*', '*', '助動詞-デス', '意志推量形')",5,5,
2982,です,デス,です,"('助動詞', '*', '*', '*', '助動詞-デス', '終止形-一般')",1,5,
1747,です,デス,です,"('助動詞', '*', '*', '*', '助動詞-デス', '終止形-一般')",10,22,
1722,です,デス,です,"('助動詞', '*', '*', '*', '助動詞-デス', '終止形-一般')",5,22,
168,です,デス,です,"('助動詞', '*', '*', '*', '助動詞-デス', '終止形-一般')",7,10,
496,とて,トテ,とて,"('助詞', '格助詞', '*', '*', '*', '*')",6,13,
2849,なぁ,ナァ,なぁ,"('助詞', '終助詞', '*', '*', '*', '*')",14,31,
2831,なぁ,ナァ,なぁ,"('助詞', '終助詞', '*', '*', '*', '*')",12,31,
2789,なぁ,ナァ,なぁ,"('助詞', '終助詞', '*', '*', '*', '*')",8,31,
2854,なぁ,ナァ,なぁ,"('助詞', '終助詞', '*', '*', '*', '*')",15,31,
2797,なぁ,ナァ,なぁ,"('助詞', '終助詞', '*', '*', '*', '*')",8,31,
2762,なぁ,ナァ,なぁ,"('助詞', '終助詞', '*', '*', '*', '*')",4,31,
1759,ながら,ナガラ,ながら,"('助詞', '接続助詞', '*', '*', '*', '*')",13,22,
1851,ながら,ナガラ,ながら,"('助詞', '接続助詞', '*', '*', '*', '*')",11,23,
698,ながら,ナガラ,ながら,"('助詞', '接続助詞', '*', '*', '*', '*')",10,15,
2841,ながら,ナガラ,ながら,"('助詞', '接続助詞', '*', '*', '*', '*')",13,31,
2788,ながら,ナガラ,ながら,"('助詞', '接続助詞', '*', '*', '*', '*')",7,31,
788,ながら,ナガラ,ながら,"('助詞', '接続助詞', '*', '*', '*', '*')",9,16,
2360,ながら,ナガラ,ながら,"('助詞', '接続助詞', '*', '*', '*', '*')",13,27,
2454,ながら,ナガラ,ながら,"('助詞', '接続助詞', '*', '*', '*', '*')",8,28,
2823,ながら,ナガラ,ながら,"('助詞', '接続助詞', '*', '*', '*', '*')",11,31,
1771,ながら,ナガラ,ながら,"('助詞', '接続助詞', '*', '*', '*', '*')",14,22,
2817,ながら,ナガラ,ながら,"('助詞', '接続助詞', '*', '*', '*', '*')",11,31,
801,ながら,ナガラ,ながら,"('助詞', '接続助詞', '*', '*', '*', '*')",11,16,
2835,ながら,ナガラ,ながら,"('助詞', '接続助詞', '*', '*', '*', '*')",13,31,
2754,ながら,ナガラ,ながら,"('助詞', '接続助詞', '*', '*', '*', '*')",3,31,
