Lex. Phr.,Reading,Pitch Accent 0,Pitch Accent 1,Melody,Duration,Duration Calc.,Melody Full,Line,Song ID
海猫が鳴くから,ごめがなくから,0 1 1 1 1 0 1/. 0 0,0 1 1 1 1 0 1/. 0 0,E4 E4 E4 E4 E4 E4 E4+E4,1/16 1/8 1/16 1/16 1/16 1/16 1/16+1/4 ,0.0625 0.125 0.0625 0.0625 0.0625 0.0625 0.3125,ご=E4*1/16 め=E4*1/8 が=E4*1/16 な=E4*1/16 く=E4*1/16 か=E4*1/16 ら=E4*1/16+E4*1/4,,1
ニシンが来ると,ニシンがくると,1/ 0 0 0 1/ 0 0,1/ 0 0 0 1/ 0 0,E4 E4 E4 E4 F4 F4 A4+A4,1/16 1/16 1/16 1/16 1/16 1/16 1/8+1/2 ,0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.625,二=E4*1/16 シ=E4*1/16 ン=E4*1/16 が=E4*1/16 く=F4*1/16 る=F4*1/16 と=A4*1/8+A4*1/2,,1
赤い筒袖の,あかいつっぽの,0 1 1 0. 1 1 1 1,0 1 1 0. 1 1 1 1,E4 E4 E4 E4 E4 E4 E4+E4,1/16 1/8 1/16 1/16 1/16 1/16 1/16+1/4 ,0.0625 0.125 0.0625 0.0625 0.0625 0.0625 0.3125,あ=E4*1/16 か=E4*1/8 い=E4*1/16 つ=E4*1/16 っ=E4*1/16 ぽ=E4*1/16 の=E4*1/16+E4*1/4,,1
ヤン衆がさわぐ,ヤンしゅうがさわぐ,1/ 0 0 0 0 0 1/ 0,1/ 0 0 0 0 0 1/ 0,E4 E4 E4 E4 F4 E4 B3+B3,1/16 1/16 1/16 1/16 1/8 1/16 1/16+1/2 ,0.0625 0.0625 0.0625 0.0625 0.125 0.0625 0.5625,ヤ=E4*1/16 ン=E4*1/16 しゅう=E4*1/16 が=E4*1/16 さ=F4*1/8 わ=E4*1/16 ぐ=B3*1/16+B3*1/2,,1
雪に埋もれた,ゆきにうもれた,0 1/ 0 0 1 1/ 0 0,0 1/ 0 0 1 1/ 0 0,E4 E4 E4 E4 E4 E4 E4+E4,1/16 1/8 1/16 1/16 1/16 1/16 1/16+1/4 ,0.0625 0.125 0.0625 0.0625 0.0625 0.0625 0.3125,ゆ=E4*1/16 き=E4*1/8 に=E4*1/16 う=E4*1/16 も=E4*1/16 れ=E4*1/16 た=E4*1/16+E4*1/4,,1
番屋の隅で,ばんやのすみで,0 1 1/ 0 1/ 0 0,0 1 1 1 1/ 0 0,E4 E4 E4 E4 F4 F4 A4+A4,1/16 1/16 1/16 1/16 1/16 1/16 1/8+1/2 ,0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.625,ば=E4*1/16 ん=E4*1/16 や=E4*1/16 の=E4*1/16 す=F4*1/16 み=F4*1/16 で=A4*1/8+A4*1/2,,1
わたしゃ夜通し,わたしゃよどおし,0 1 1 1 1 1 1,0 1 1 0 1 1 1,B4 B4 B4 B4 B4 B4 B4+B4,1/16 1/8 1/16 1/16 1/16 1/16 1/16+1/4 ,0.0625 0.125 0.0625 0.0625 0.0625 0.0625 0.3125,わ=B4*1/16 た=B4*1/8 しゃ=B4*1/16 よ=B4*1/16 ど=B4*1/16 お=B4*1/16 し=B4*1/16+B4*1/4,,1
飯を炊く,めしをたく,0 1/ 0 0 0,0 1/ 0 0 1,E4 E4 F4 A4 A4,1/16 1/16 1/16 1/16 1/1 ,0.0625 0.0625 0.0625 0.0625 1.0,め=E4*1/16 し=E4*1/16 を=F4*1/16 た=A4*1/16 く=A4*1/1,,1
あれからニシンは,あれからニシンは,0 1 1 1 1/ 0 0 0,0 1 1 1 1/ 0 0 0,F4 F4 F4 F4 A4 A4 A4+A4,1/16 1/16 1/16 1/16 1/16 1/16 1/16 1/16+1/4 ,0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.3125,あ=F4*1/16 れ=F4*1/16 か=F4*1/16 ら=F4*1/16 二=F*1/16 シ=A4*1/16 ン=A4*1/16 は=A4*1/16+A4*1/4,,1
どこへ行ったやら,どこへいったやら,1/ 0 0 0 1 1/ 0 0,1/ 0 0 0 1 1/ 0 0,F4 F4 F4 E4 E4 C4 E4,1/16 1/16 1/16 1/8 1/8 1/8 1/2 ,0.0625 0.0625 0.0625 0.125 0.125 0.125 0.5,ど=F4*1/16 こ=F4*1/16 へ=F4*1/16 いっ=E4*1/8 た=E4*1/8 や=C4*1/8 ら=E4*1/2,,1
